date,competition,home_away,opponent,home_team,away_team,vaughan_score,opponent_score,scorers,notes
2026-05-11,League Cup,Home,GTA United,Vaughan Azzurri,GTA United,4,2,Julian Accettola:3; Lucas Puntillo:1,OSL game #18
2026-05-21,OSL,Home,Scarboro Azzurri Blues,Vaughan Azzurri,Scarboro Azzurri Blues,4,2,Jarred Phillips:1; Julian Accettola:1; Lucas Puntillo:1; Michael Petitti:1,OSL game #391
2026-05-31,OSL,Away,Panathinaikos,Panathinaikos,Vaughan Azzurri,2,0,Andron Kagramanyan:1; Julian Accettola:1,OSL game #420
2026-06-04,OSL,Home,Croatia Norval,Vaughan Azzurri,Croatia Norval,2,3,Julian Accettola:1; Mario Kovacevic:1,OSL game #434
